Index,Medium,Count
261,"Gelatin silver print, printed 1987",1
262,Gelatin silver print from 16mm film,1
263,"Gelatin silver print, printed 1985",1
264,"Album with letterpress label on cover, letterpress text folio, and twelve gelatin silver prints",1
265,Boxed portfolio of twenty six gelatin silver prints,1
266,Photograph in acrylic paint on aluminum,1
267,"Chromogenic print, printed 1993",1
268,Two color photographic process,1
269,Photo-engraved silver-plated copper plate,1
270,Gelatin silver print on linen and painted wooden frame,1
271,Palladium and ferro-prussiate print (two-color process),1
272,Two-color process,1
273,Gelatin silver prints (watercolor and ink drawing),1
274,"Gelatin silver print, printed c. 1988",1
275,Gelatin silver print (with montage of second gelatin silver print),1
276,"Chromogenic print, printed 1985",1
277,"Dye transfer print, printed 1963",1
278,"Gelatin silver print, printed June 1996",1
279,"Albumen silver print with watercolor, gouache, and gum",1
280,Thirty platinum/palladium prints in bound volume,1
281,Thirty-two gelatin silver prints,1
282,"Gelatin silver print on paper from a portfolio of five etchings (one with aquatint), three duplicated drawings (two watercolor on paper and one crayon on paper), one collage, one engraving, and one gelatin silver print",1
283,Gelatin silver print (solarized?),1
284,Silver platinum print,1
285,Oil pigment print,1
286,Portfolio of photographs,1
287,"Salted paper print, printed 1979",1
288,Album with gelatin silver prints and text,1
289,Waxed-paper negative,1
290,Gum platinum print from a waxed-paper negative,1
291,Silver emulsion on hand made paper,1
292,Black and white instant print (Polapan),1
293,Black and white instant prints,1
294,Twelve black and white instant prints (Polapan),1
295,"Eighteen black-and-white instant prints (Polapan), with hand-applied ink",1
296,"Black and white instant print (Polapan), scratched",1
297,"Gelatin silver print, printed 1939",1
298,Ten gelatin silver prints,1
299,"Color instant print (Polacolor, with hand-applied ink)",1
300,Five color and four black and white instant prints (Polacolor and Polapan),1
301,Collage of black and white instant prints (Polaroid),1
302,Daguerreotype (hand-tinted),1
303,Photoglyphic engraving,1
304,Nine color instant prints (Polacolor),1
305,(etching),1
306,Twelve gelatin silver prints mounted to board,1
307,Three gelatin silver prints mounted to board,1
308,"Two daguerreotypes, one-quarter plate (hand-tinted), in a double plastic case",1
309,Albumen silver print from a glass (?) negative,1
310,Album of photographic silkscreen prints,1
311,Glycerin print (?),1
